
2023/06/26 (16:28:33) | ===> btop++ v.1.2.13
2023/06/26 (16:28:33) | ERROR: Stall in Runner thread, restarting!
2023/06/26 (16:28:39) | ERROR: Stall in Runner thread, restarting!
2023/06/26 (16:28:45) | ERROR: Stall in Runner thread, restarting!

2023/06/26 (18:18:48) | ===> btop++ v.1.2.13
2023/06/26 (18:18:48) | ERROR: Stall in Runner thread, restarting!
2023/06/26 (18:18:54) | ERROR: Stall in Runner thread, restarting!

2023/10/25 (13:15:46) | ===> btop++ v.1.2.13
2023/10/25 (13:15:46) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]
2023/10/25 (13:15:46) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]

2024/01/04 (12:08:37) | ===> btop++ v.1.2.13
2024/01/04 (12:08:37) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]
2024/01/04 (12:08:37) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]
2024/01/04 (12:08:38) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]

2024/06/12 (22:14:46) | ===> btop++ v.1.3.2
2024/06/12 (22:14:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (17:39:05) | ===> btop++ v.1.3.2
2024/07/31 (17:39:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/21 (08:56:35) | ===> btop++ v.1.4.0
2024/11/21 (08:56:35) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/18 (18:23:05) | ===> btop++ v.1.4.0
2025/01/18 (18:23:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (18:25:40) | ===> btop++ v.1.4.0
2025/02/15 (18:25:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (18:26:39) | ===> btop++ v.1.4.0
2025/02/15 (18:26:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (18:31:58) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (19:08:29) | ===> btop++ v.1.4.0
2025/02/21 (19:08:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (19:08:31) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (19:08:40) | ===> btop++ v.1.4.0
2025/02/21 (19:08:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (19:10:21) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (11:59:13) | ===> btop++ v.1.4.0
2025/02/23 (11:59:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (12:00:21) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (12:05:27) | ===> btop++ v.1.4.0
2025/02/23 (12:05:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (12:13:19) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (12:17:08) | ===> btop++ v.1.4.0
2025/02/23 (12:17:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (12:34:11) | WARNING: Failed to join _runner thread on exit!
