a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-serif-fonts 4.004-2
adwaita-icon-theme 41.0-1
alembic 1.8.3-2
alsa-card-profiles 1:0.3.40-1
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
aom 3.2.0-1
apparmor 3.0.3-1
appimagetool-bin 13-0
arc-gtk-theme 20211018-1
arc-icon-theme 20161122-3
arch-wiki-docs 20211116-1
arch-wiki-lite 20211116-1
archlinux-keyring 20211028-1
archlinux-wallpaper 1.6.1-1
argon2 20190702-3
aseprite-skia-bin 1.2.30-1
asusctl 4.0.6-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.6-2
aura 3.2.6-1
auto-cpufreq 1.7.2-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
babl 0.1.88-2
base 2-2
bash 5.1.012-1
bat 0.18.3-1
bc 1.07.1-4
bind 9.16.23-1
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
blender 17:2.93.6-1
blosc 1.21.1-1
blueman 2.2.3-1
bluez 5.62-1
bluez-libs 5.62-1
boost-libs 1.76.0-2
botan 2.18.2-1
box2d 2.4.1-1
brightnessctl 0.5.1-2
brittany 0.13.1.1-1
brotli 1.0.9-4
btrfs-progs 5.15.1-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.73-1
ca-certificates-utils 20210603-1
cabal-install 3.4.0.0-56
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cava 0.7.4-1
cblas 3.10.0-1
cbonsai 1.3.1-3
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.0-3
chromium 96.0.4664.45-2
cifs-utils 6.14-1
clang 13.0.0-2
clucene 2.3.3.4-11
cmake 3.22.0-1
cmark 0.30.2-1
cmatrix 2.0-2
compiler-rt 13.0.0-1
containerd 1.5.8-1
coreutils 9.0-2
cowsay 3.04-2
cpio 2.13-2
cryptsetup 2.4.2-1
cups 1:2.3.3op2-4
cups-filters 1.28.10-2
curl 7.80.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
deadbeef 1.8.8-2
deno 1.16.2-1
desktop-file-utils 0.26-1
devhelp 41.2-3
device-mapper 2.03.14-2
dhcpcd 9.4.0-1
diffutils 3.8-1
discord 0.0.16-1
djvulibre 3.5.28-3
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dmscripts-git 1.0.r401.cc73d1e-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
dotnet-host 6.0.0.sdk100-2
dotnet-runtime 6.0.0.sdk100-2
dotnet-sdk 6.0.0.sdk100-2
dotnet-targeting-pack 6.0.0.sdk100-2
double-conversion 3.1.5-2
dtc 1.6.1-1
dunst 1.7.1-1
dust 0.7.5-1
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
elfutils 0.186-1
elixir 1.12.2-1
ell 0.46-1
emacs 27.2-1
emacs-dash 2.19.1-1
embree 3.13.2-1
enchant 2.3.1-2
erlang 24.1.7-1
erlang-docs 24.0-1
evince 41.3-1
evtest 1.34-2
exa 0.10.1-4
exiv2 0.27.5-1
exo 4.16.2-1
expat 2.4.1-1
faad2 2.10.0-1
fakeroot 1.26-1
fcitx 4.2.9.8-1
fcitx-googlepinyin 0.1.6-7
fcitx-libpinyin 0.5.4-1
fcitx-qt5 1.2.6-1
fd 8.3.0-1
feh 3.7.2-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.11.11-1
findutils 4.8.0-1
firejail 0.9.66-3
fish 3.3.1-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.4-1
flycheck 31-1
fmt 8.0.1-2
font-manager 0.8.7-2
fontconfig 2:2.13.94-1
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.28.0-1
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-1
gd 2.3.3-3
gdb 11.1-2
gdb-common 11.1-2
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.32-2
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghc 9.0.1-5
ghc-libs 9.0.1-5
ghostscript 9.55.0-2
ghostwriter 2.1.0-1
giflib 5.2.1-2
gimp 2.10.28-1
girara 0.3.6-1
git 2.34.1-1
github-cli 2.2.0-1
github-desktop 2.9.4-4
glew 2.2.0-2
glib-networking 1:2.70.0-1
glib2 2.70.1-1
glibc 2.33-5
glibmm 2.66.2-1
glow 1.4.1-1
glslang 11.7.1-2
glu 9.0.2-1
gmp 6.2.1-1
gnome-backgrounds 41.0-1
gnome-desktop 1:41.1-1
gnome-keyring 1:40.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.2-2
gobject-introspection-runtime 1.70.0-2
gpgme 1.16.0-1
gpick 0.2.6-2
gping 1.2.6-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphicsmagick 1.3.36-3
graphite 1:1.3.14-1
graphviz 2.49.3-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
grub-customizer 5.1.0-3
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsimplecal 2.2-1
gsl 2.7-1
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.4.0.1-1
gst-plugins-bad-libs 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
